year_month,regime,avg_pairwise_corr,nifty_vol_20d,position_scale
2020-03,normal,0.2979,0.2052,0.83
2020-04,crisis,0.6739,0.8078,0.0
2020-05,elevated,0.4301,0.4976,0.6
2020-06,elevated,0.386,0.3424,0.6
2020-07,normal,0.2454,0.1844,0.894
2020-08,normal,0.2132,0.1543,0.987
2020-09,normal,0.2122,0.139,1.0
2020-10,normal,0.405,0.1955,0.86
2020-11,normal,0.1284,0.1484,1.0
2020-12,normal,0.2151,0.1394,1.0
2021-01,normal,0.3532,0.1454,1.0
2021-02,normal,0.3046,0.1626,0.961
2021-03,elevated,0.3878,0.2708,0.628
2021-04,normal,0.3962,0.1961,0.858
2021-05,normal,0.3009,0.2072,0.824
2021-06,normal,0.1741,0.1311,1.0
2021-07,normal,0.1055,0.0728,1.0
2021-08,normal,0.1196,0.0919,1.0
2021-09,normal,0.1531,0.0923,1.0
2021-10,normal,0.1515,0.0971,1.0
2021-11,normal,0.2013,0.1307,1.0
2021-12,normal,0.3059,0.161,0.966
2022-01,normal,0.4651,0.1662,0.95
2022-02,normal,0.3255,0.1686,0.943
2022-03,crisis,0.6042,0.2827,0.0
2022-04,normal,0.2963,0.1969,0.856
2022-05,normal,0.3727,0.1852,0.892
2022-06,elevated,0.4013,0.2372,0.732
2022-07,normal,0.3997,0.1753,0.922
2022-08,normal,0.1986,0.1244,1.0
2022-09,normal,0.2926,0.1423,1.0
2022-10,normal,0.319,0.1556,0.983
2022-11,normal,0.3211,0.1463,1.0
2022-12,normal,0.1864,0.0968,1.0
2023-01,normal,0.293,0.1164,1.0
2023-02,normal,0.1886,0.1187,1.0
2023-03,normal,0.1195,0.1005,1.0
2023-04,normal,0.2483,0.1351,1.0
2023-05,normal,0.1181,0.0819,1.0
2023-06,normal,0.1433,0.0901,1.0
2023-07,normal,0.207,0.0793,1.0
2023-08,normal,0.1106,0.0854,1.0
2023-09,normal,0.1637,0.065,1.0
2023-10,normal,0.2176,0.0913,1.0
2023-11,normal,0.324,0.1104,1.0
2023-12,normal,0.1682,0.0718,1.0
2024-01,normal,0.225,0.116,1.0
2024-02,normal,0.271,0.1589,0.973
2024-03,normal,0.1741,0.0925,1.0
2024-04,normal,0.3031,0.1215,1.0
2024-05,normal,0.1885,0.0994,1.0
2024-06,normal,0.2293,0.111,1.0
2024-07,elevated,0.3792,0.2865,0.6
2024-08,normal,0.2083,0.0901,1.0
2024-09,normal,0.3609,0.148,1.0
2024-10,normal,0.2541,0.1191,1.0
2024-11,normal,0.1509,0.0958,1.0
2024-12,normal,0.3706,0.1621,0.963
2025-01,normal,0.2629,0.109,1.0
2025-02,normal,0.2684,0.1293,1.0
2025-03,normal,0.2473,0.1188,1.0
2025-04,normal,0.3713,0.127,1.0
2025-05,normal,0.3939,0.2182,0.79
2025-06,normal,0.4563,0.1829,0.899
2025-07,normal,0.3046,0.1066,1.0
2025-08,normal,0.118,0.0745,1.0
2025-09,normal,0.2655,0.0993,1.0
2025-10,normal,0.1596,0.0688,1.0
2025-11,normal,0.1501,0.0762,1.0
2025-12,normal,0.195,0.0781,1.0
2026-01,normal,0.2518,0.076,1.0
2026-02,normal,0.2131,0.0916,1.0
